Age_Group,City,Income_Range,Top_Speed_kmh,Range_km,Price_INR,Company_Model,Preference
old,Pune,70k-90k,76,101,83373,Hero,0
young,Pune,30k-50k,59,106,161919,Yamaha,0
old,Pune,70k-90k,65,111,102876,TVS,1
old,Bangalore,90k-110k,55,72,83477,Yamaha,0
young,Mumbai,70k-90k,68,72,49972,Bajaj,1
young,Hyderabad,90k-110k,39,63,199260,Hero,0
old,Delhi,90k-110k,57,118,52314,Hero,1
middle-aged,Ahmedabad,50k-70k,58,51,166013,KTM,1
old,Ahmedabad,50k-70k,38,118,69905,Mahindra,0
old,Bangalore,30k-50k,42,72,114248,Mahindra,0
old,Mumbai,70k-90k,77,122,157855,Royal Enfield,1
old,Delhi,70k-90k,51,120,94248,TVS,1
young,Mumbai,90k-110k,46,103,196131,Bajaj,1
old,Kolkata,70k-90k,61,87,145013,Yamaha,0
middle-aged,Mumbai,90k-110k,70,113,142421,TVS,1
young,Delhi,50k-70k,51,104,132027,Mahindra,1
middle-aged,Bangalore,30k-50k,68,118,78622,Honda,1
middle-aged,Pune,50k-70k,76,84,94468,KTM,1
middle-aged,Delhi,70k-90k,62,104,102734,Royal Enfield,1
middle-aged,Bangalore,90k-110k,46,103,135656,TVS,0
young,Bangalore,50k-70k,39,90,179604,Mahindra,0
young,Hyderabad,70k-90k,53,50,115805,Suzuki,0
middle-aged,Chennai,90k-110k,74,85,51869,Kawasaki,1
middle-aged,Ahmedabad,70k-90k,43,57,94182,KTM,0
young,Hyderabad,70k-90k,41,68,45359,TVS,0
young,Kolkata,30k-50k,59,104,64002,TVS,0
young,Chennai,50k-70k,60,73,137650,TVS,0
old,Pune,70k-90k,36,99,76833,Kawasaki,1
old,Delhi,70k-90k,62,95,111300,Royal Enfield,1
old,Chennai,30k-50k,38,52,146395,Kawasaki,0
middle-aged,Pune,30k-50k,70,51,107753,Yamaha,1
old,Bangalore,90k-110k,69,96,167711,Mahindra,1
middle-aged,Delhi,70k-90k,65,53,114199,Bajaj,0
middle-aged,Chennai,70k-90k,54,103,55434,Mahindra,1
old,Mumbai,70k-90k,51,78,190701,Kawasaki,1
middle-aged,Pune,70k-90k,41,117,131985,Kawasaki,1
old,Pune,30k-50k,70,98,159080,Mahindra,1
old,Kolkata,50k-70k,43,99,167714,Bajaj,0
young,Ahmedabad,30k-50k,41,120,100017,Hero,0
old,Mumbai,90k-110k,71,56,152612,Kawasaki,1
young,Delhi,30k-50k,71,88,124032,Hero,0
old,Chennai,50k-70k,44,112,158915,Suzuki,1
old,Bangalore,70k-90k,59,82,140160,Suzuki,0
young,Chennai,90k-110k,59,79,107749,Royal Enfield,1
young,Ahmedabad,90k-110k,67,96,189417,Mahindra,0
old,Hyderabad,70k-90k,72,68,52572,KTM,0
middle-aged,Ahmedabad,50k-70k,49,95,91218,Mahindra,0
young,Delhi,30k-50k,40,102,175001,Mahindra,1
middle-aged,Delhi,70k-90k,74,94,147579,Hero,1
middle-aged,Delhi,50k-70k,46,103,81271,Bajaj,1
middle-aged,Delhi,50k-70k,59,104,129053,Honda,0
young,Hyderabad,50k-70k,66,103,78523,Yamaha,1
middle-aged,Pune,70k-90k,76,77,137220,Suzuki,1
young,Chennai,50k-70k,57,104,139852,Hero,1
middle-aged,Mumbai,90k-110k,74,92,119117,Royal Enfield,0
old,Bangalore,90k-110k,53,90,180971,Bajaj,0
old,Bangalore,30k-50k,71,74,136038,Suzuki,1
young,Kolkata,30k-50k,64,71,100911,TVS,0
old,Pune,50k-70k,76,125,168544,Bajaj,0
old,Delhi,50k-70k,53,96,81412,Yamaha,0
middle-aged,Ahmedabad,50k-70k,55,77,151954,KTM,1
young,Delhi,30k-50k,44,105,146826,Suzuki,1
middle-aged,Delhi,90k-110k,75,99,131362,KTM,1
middle-aged,Ahmedabad,90k-110k,62,110,56963,Honda,0
middle-aged,Pune,70k-90k,61,116,138024,Mahindra,0
middle-aged,Mumbai,30k-50k,71,64,174466,Bajaj,0
middle-aged,Delhi,50k-70k,60,102,128146,Royal Enfield,0
middle-aged,Kolkata,90k-110k,36,101,146781,KTM,1
middle-aged,Kolkata,70k-90k,73,83,67932,Bajaj,1
young,Mumbai,90k-110k,36,124,156313,Yamaha,1
old,Pune,70k-90k,58,98,46972,Hero,0
middle-aged,Delhi,50k-70k,44,85,152241,Yamaha,0
middle-aged,Hyderabad,50k-70k,73,106,175049,Kawasaki,1
middle-aged,Chennai,90k-110k,62,53,96726,Honda,0
middle-aged,Chennai,30k-50k,69,75,64601,Mahindra,0
middle-aged,Bangalore,90k-110k,64,70,187113,Royal Enfield,0
middle-aged,Mumbai,30k-50k,43,94,193328,Hero,0
old,Chennai,90k-110k,43,67,170812,Mahindra,0
old,Bangalore,30k-50k,74,50,166984,Bajaj,0
middle-aged,Kolkata,50k-70k,49,99,96635,Suzuki,0
old,Bangalore,70k-90k,65,67,53795,Royal Enfield,0
young,Delhi,30k-50k,40,66,170839,Hero,1
middle-aged,Delhi,50k-70k,69,85,81381,Suzuki,0
young,Kolkata,70k-90k,39,112,135239,KTM,1
young,Mumbai,50k-70k,44,109,195697,Mahindra,0
middle-aged,Pune,50k-70k,75,78,88871,Bajaj,1
old,Ahmedabad,50k-70k,77,68,106543,Mahindra,0
young,Ahmedabad,30k-50k,44,124,163547,Hero,0
middle-aged,Delhi,50k-70k,68,85,183317,KTM,1
young,Ahmedabad,50k-70k,38,105,141919,Kawasaki,0
young,Delhi,50k-70k,74,92,59210,Mahindra,0
young,Bangalore,30k-50k,73,119,97380,Suzuki,1
young,Bangalore,90k-110k,56,85,80701,Suzuki,1
old,Bangalore,50k-70k,73,116,121567,Bajaj,1
young,Chennai,90k-110k,71,109,77513,Honda,0
young,Hyderabad,50k-70k,48,92,64968,Hero,0
young,Kolkata,30k-50k,73,90,157521,Royal Enfield,1
old,Mumbai,90k-110k,40,119,173858,Bajaj,0
young,Bangalore,50k-70k,53,68,181815,Royal Enfield,0
young,Mumbai,90k-110k,54,120,114864,Kawasaki,0
old,Hyderabad,70k-90k,69,92,92458,Yamaha,1
old,Bangalore,90k-110k,63,65,50041,Honda,0
old,Delhi,50k-70k,71,98,117168,Honda,0
young,Hyderabad,90k-110k,45,63,157096,Suzuki,1
old,Mumbai,50k-70k,59,96,184749,Kawasaki,1
old,Chennai,90k-110k,64,56,173632,TVS,1
young,Bangalore,90k-110k,50,75,150206,Yamaha,0
old,Pune,30k-50k,46,115,161026,Kawasaki,0
young,Kolkata,30k-50k,45,66,151112,KTM,1
middle-aged,Delhi,90k-110k,66,118,197893,Honda,0
old,Hyderabad,30k-50k,55,111,152435,TVS,0
middle-aged,Hyderabad,30k-50k,47,108,153349,Mahindra,1
young,Bangalore,70k-90k,55,94,54778,TVS,0
old,Hyderabad,50k-70k,58,75,142723,Royal Enfield,0
young,Mumbai,50k-70k,76,122,89802,Hero,0
middle-aged,Ahmedabad,70k-90k,37,123,67341,Honda,0
young,Bangalore,90k-110k,73,63,100030,Suzuki,1
old,Delhi,30k-50k,47,72,142315,Bajaj,0
old,Kolkata,50k-70k,39,63,182570,Suzuki,0
